IMR,DISTRICT,FD,STATE,FS,POPULATION,BCG,DPT_1,DPT_2,DPT_3,PENTA_1,PENTA_2,PENTA_3,OPV_0,OPV_1,OPV_2,OPV_3,HEP_B0,HEP_B1,HEP_B2,HEP_B3,MEAS_1,MEAS_2,JE_1,M_FI_9_11,F_FI_9_11,T_FI_9_11,DPT_1B,OPV_B,MMR_V,DPT5_2B,TT_10,TT_16,AEFI_A,AEFI_D,AEFI_O,IS_P,IS_H,IS_ASHA,JE_16M,dropout_gap_percent,asha_efficiency_ratio,IMR_TARGET,IMR_TARGET_NUM
LOW,Nicobar,NPD,A&N Islands,NHF,36819,449.75,439,453,457,118,127,142,423,545,552,570,304.5,368,369,396,485,408,1,325,319,645,525,519,62,286,426,278,0,0,17,712,647,464,3,0.0,12.602189087156088,LOW,0
LOW,North&Middle Andaman,NPD,A&N Islands,NHF,105539,851.75,895,901,927,296,288,287,720,1241,1249,1252,147.25,631,636,676,1330,296,1,587,611,1199,1337,1338,476,906,1177,1145,0,0,23,931,858,430,0,0.0,4.074323235960167,LOW,0
LOW,South Andaman,NPD,A&N Islands,NHF,237586,3053.5,1887,1872,1926,657,646,682,2985,2802,2781,2839,2097.0,1403,1374,1443,2464,2213,4,1490,1429,2920,2789,2769,626,921,1405,1690,3,0,53,1444,1416,681,0,4.372032094317996,2.866330507689847,LOW,0
HIGH,Anantapur,NPD,ANDHRA PRADESH OLD,NHF,4083315,73600.75,22773,25129,26089,55044,53803,53054,68794,75908,76804,77781,50646.75,24411,25786,30391,59868,49639,854,41708,39059,80767,66932,67225,3551,64153,67211,64715,52,0,1138,52604,52282,47921,46,0.0,11.735807793422747,HIGH,1
HIGH,Chittoor,NPD,ANDHRA PRADESH OLD,NHF,4170468,65335.75,21121,22133,23395,45145,43883,43098,64064,63047,63844,64271,59392.75,20864,22333,23430,51275,31246,6286,33478,30978,64457,57385,57613,2552,52562,55471,55094,30,0,9,60576,60291,44909,18666,1.3449757598252106,10.768335831853882,HIGH,1
HIGH,Cuddapah(YSR),PD,ANDHRA PRADESH OLD,NHF,2884524,59152.25,16577,17269,18404,40206,38384,37250,53719,55640,54599,54564,46427.5,17124,17425,18458,42812,40952,49,27401,25316,52717,48902,49330,504,49010,47750,46143,14,0,70,34606,34583,25368,8,10.879129703434781,8.794518610349575,HIGH,1
HIGH,East Godavari,NPD,ANDHRA PRADESH OLD,NHF,5151549,83146.25,24464,25705,27399,50945,50301,50428,72556,75697,76425,77837,51996.75,24090,25035,26788,60224,41460,1054,42583,40807,83390,72472,72403,6184,66430,68290,68824,97,0,26,45422,45346,44002,533,0.0,8.541508583146545,HIGH,1
HIGH,Guntur,NPD,ANDHRA PRADESH OLD,NHF,4889230,76420.25,35581,35610,36149,53269,52252,52525,68880,76184,74730,77567,51316.5,36604,35476,37892,60469,55883,377,39144,37420,76564,70674,70747,1862,81536,83757,78441,17,0,147,54362,53700,44625,4,0.0,9.12720407916993,HIGH,1
HIGH,Krishna,NPD,ANDHRA PRADESH OLD,NHF,4529009,66974.75,18158,19803,21473,48405,47649,46955,53664,66264,67245,68285,42071.0,18387,19911,21598,51424,47825,41248,35708,33304,69013,62323,62286,675,53029,51475,48870,26,1,96,34032,33967,32536,55678,0.0,7.183911535614083,HIGH,1
HIGH,Kurnool,PD,ANDHRA PRADESH OLD,NHF,4046601,74736.5,19629,20838,23165,51331,49232,48761,56635,68156,68610,68754,31907.75,19330,20601,22636,54350,52020,46136,34950,31727,66677,62020,61773,1878,52816,51610,46801,114,4,798,45140,43204,36301,49518,10.783887391033833,8.970738652019312,HIGH,1
HIGH,Nellore,NPD,ANDHRA PRADESH OLD,NHF,2966082,48408.75,14987,15455,16351,27583,27122,27220,46739,40436,40640,41884,43406.75,14550,14990,16157,32725,29884,15468,22196,20098,42294,39563,39993,1360,40274,45369,45734,63,0,303,44294,43614,33519,27794,12.631497404911302,11.300766465660761,HIGH,1
HIGH,Prakasam,NPD,ANDHRA PRADESH OLD,NHF,3392764,55473.0,17923,18458,20208,38244,36993,37270,47995,55213,54637,56744,21074.25,18014,18200,19822,43638,29127,361,26491,23901,50392,52742,52937,3759,53259,63130,63003,8,0,28,52926,52667,40007,49,9.159410884574477,11.791860559708839,HIGH,1
